,Player,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age_Group
0,Precious Achiuwa,C,22.0,6,1,27.8,4.2,8.7,0.481,0.8,2.7,0.313,3.3,6.0,0.556,0.529,1.0,1.7,0.6,1.3,3.5,4.8,1.0,0.2,0.8,1.5,2.3,10.2,Young
1,Steven Adams,C,28.0,7,5,16.3,1.3,3.0,0.429,0.0,0.0,0.0,1.3,3.0,0.429,0.429,0.9,1.6,0.545,2.1,4.3,6.4,2.1,0.1,0.1,0.6,1.7,3.4,Middle-aged
2,Bam Adebayo,C,24.0,18,18,34.1,5.8,9.7,0.594,0.0,0.1,0.0,5.8,9.7,0.598,0.594,3.2,4.2,0.763,2.1,5.9,8.0,2.7,1.0,0.7,2.1,3.1,14.8,Young
4,Grayson Allen,SG,26.0,12,5,25.4,3.1,6.8,0.451,1.6,4.0,0.396,1.5,2.8,0.529,0.567,0.6,0.9,0.636,0.4,2.5,2.9,1.3,0.7,0.3,0.8,1.8,8.3,Middle-aged
5,Jose Alvarado,PG,23.0,6,0,19.5,2.7,5.5,0.485,1.0,2.7,0.375,1.7,2.8,0.588,0.576,1.7,2.2,0.769,0.3,1.0,1.3,1.5,1.2,0.2,1.2,3.0,8.0,Young
6,Kyle Anderson,PF,28.0,12,1,18.4,2.4,4.3,0.569,0.3,1.0,0.25,2.2,3.3,0.667,0.598,0.9,1.5,0.611,0.8,3.5,4.3,1.8,0.9,0.6,0.8,1.8,6.0,Middle-aged
7,Giannis Antetokounmpo,PF,27.0,12,12,37.3,11.7,23.8,0.491,0.8,3.4,0.22,10.9,20.3,0.537,0.507,7.6,11.2,0.679,2.2,12.0,14.2,6.8,0.7,1.3,4.5,3.6,31.7,Middle-aged
8,Thanasis Antetokounmpo,SF,29.0,8,0,2.5,0.3,0.4,0.667,0.0,0.0,0.0,0.3,0.4,0.667,0.667,0.1,0.4,0.3820000000000001,0.1,0.4,0.5,0.1,0.1,0.0,0.0,0.5,0.6,Middle-aged
9,OG Anunoby,SF,24.0,6,6,36.2,6.5,13.7,0.476,2.3,6.8,0.341,4.2,6.8,0.61,0.561,2.0,2.7,0.75,1.2,2.8,4.0,2.5,1.0,0.2,1.7,3.0,17.3,Young
10,Deandre Ayton,C,23.0,13,13,30.5,8.1,12.6,0.64,0.2,0.3,0.5,7.9,12.3,0.644,0.646,1.6,2.5,0.636,2.5,6.4,8.9,1.7,0.4,0.8,1.5,2.6,17.9,Young
11,Desmond Bane,SF,23.0,12,12,35.7,6.3,13.3,0.478,3.6,7.3,0.489,2.8,5.9,0.465,0.613,2.5,2.9,0.857,0.4,3.3,3.8,2.2,0.9,0.8,1.3,1.9,18.8,Young
13,Scottie Barnes,PF,20.0,4,3,33.3,4.5,10.5,0.429,0.5,3.0,0.167,4.0,7.5,0.533,0.452,3.3,4.0,0.813,1.8,7.3,9.0,4.3,1.0,0.3,1.3,3.0,12.8,Young
